affiliate,name,CISNC_school,code,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
N/A,Sunnyside Elementary,no,260440,Cumberland,Fayetteville,"3876 Sunnyside School Road, Fayetteville, NC 28312",-78.796946,35.028197,Cumberland County Schools,Sandhills,Y,73.1,D,Met,37.2,N/A
N/A,Teresa C Berrien Elementary,no,260444,Cumberland,Fayetteville,"800 North Street, Fayetteville, NC 28301",-78.8745401,35.0653695,Cumberland County Schools,Sandhills,Y,90.2,F,Not Met,25.4,N/A
N/A,Westarea Elementary,no,260452,Cumberland,Fayetteville,"941 Country Club Drive, Fayetteville, NC 28301",-78.912423,35.0979749,Cumberland County Schools,Sandhills,Y,80.8,D,Exceeded,40.6,N/A
N/A,The Capitol Encore Academy,no,26C000,Cumberland,Fayetteville,"126 Hay Street, Fayetteville, NC 28301",-78.8790444,35.0534229,Charter Schools,Sandhills,Y,59.1,D,Not Met,46.8,N/A
CIS of Cape Fear,Edwin A Anderson Elementary,yes,650323,New Hanover,Wilmington,"455 Halyburton Drive , Wilmington, NC 28512",-77.9074609,34.1775833,New Hanover County Schools,Southeast,Y,44.2,B,Met,67.6,N/A
N/A,Fair Grove Elementary,no,290328,Davidson,Thomasville,"217 Cedar Lodge Road, Thomasville, NC 27360",-80.078673,35.8476484,Davidson County Schools,Piedmont-Triad,Y,48.3,D,Not Met,50.2,N/A
CIS of Cape Fear,Heyward C Bellamy Elem,yes,650338,New Hanover,Wilmington,"70 Sanders Rd. , Wilmington, NC 28412",-77.909028,34.122656,New Hanover County Schools,Southeast,Y,43.1,B,Exceeded,79.3,N/A
CIS of Cape Fear,South Topsail Elementary,yes,710347,Pender,Hampstead,"997 Hoover Road, Hampstead, NC 28443",-77.713498,34.384254,Pender County Schools,Southeast,N,42.9,B,Exceeded,74.8,N/A
CIS of Cape Fear,Eugene Ashley High,yes,650327,New Hanover,Wilmington,"555 Halyburton Memorial Parkway , Wilmington, NC 28412",-77.9110479,34.1005137,New Hanover County Schools,Southeast,N,42.5,C,Not Met,49.6,89.2
CIS of Cape Fear,Surf City Elementary,yes,710350,Pender,Holly Ridge,"12345-A Literacy Ln, Hampstead, NC 28443",-77.575036,34.4618621,Pender County Schools,Southeast,N,39.3,B,Met,74.8,N/A
N/A,South Lexington School,no,291348,Davidson,Lexington,"1000 Cotton Grove Road, Lexington, NC 27292",-80.2612207,35.7964983,Lexington City Schools,Piedmont-Triad,Y,68.3,D,Not Available,Not Available,N/A
N/A,Southwest Elementary School,no,291352,Davidson,Lexington,"434 Central Avenue, Lexington, NC 27292",-80.280445,35.8178793,Lexington City Schools,Piedmont-Triad,Y,57.3,D,Not Met,50.4,N/A
CIS of Cape Fear,Charles P Murray Middle,yes,650310,New Hanover,Wilmington,"655 Halyburton Memorial Parkwy, Wilmington, NC 28412",-77.9075709,34.0985243,New Hanover County Schools,Southeast,N,37.6,B,Exceeded,78.7,N/A
CIS of Cape Fear,Roland-Grise Middle,yes,650364,New Hanover,Wilmington,"4412 Lake Ave, Wilmington, NC 28403",-77.8904359,34.205386,New Hanover County Schools,Southeast,N,37,B,Not Met,70.5,N/A
CIS of Cape Fear,M C S Noble Middle,yes,650350,New Hanover,Wilmington,"6520 Market St, Wilmington, NC 28405",-77.8361856,34.2532655,New Hanover County Schools,Southeast,N,35.7,B,Met,76.7,N/A
N/A,Davidson Charter Academy CFA,no,29A000,Davidson,Lexington,"500 Biesecker Rd, Lexington, NC 27295",-80.2690538,35.8457638,Charter Schools,Piedmont-Triad,N,22.7,D,Not Met,42.3,N/A
N/A,B F Grady Elementary,no,310304,Duplin,Albertson,"2627 N NC 11 & 903, Albertson, NC 28508",-77.8266212,35.0568712,Duplin County Schools,Southeast,Y,69.5,D,Met,43.2,N/A
N/A,Warsaw Elementary,no,310336,Duplin,Warsaw,"158 Lanefield Road, Warsaw, NC 28398",-78.0759379,34.997008,Duplin County Schools,Southeast,Y,85,D,Met,35.5,N/A
N/A,Rose Hill-Magnolia Elementary,no,310384,Duplin,Rose Hill,"1329 Brooks Quinn Road, Rose Hill, NC 28458",-78.024087,34.85104,Duplin County Schools,Southeast,Y,78.9,D,Exceeded,40,N/A
N/A,Wallace Elementary,no,310388,Duplin,Wallace,"4266 NC 11 S, Wallace, NC 28466",-77.9775739,34.7341814,Duplin County Schools,Southeast,Y,74.7,D,Not Met,39.4,N/A
CIS of Cape Fear,Isaac M Bear Early College High School,yes,650340,New Hanover,Wilmington,"630 MacMillan Avenue, Wilmington, NC 28403",-77.8811648,34.2204535,New Hanover County Schools,Southeast,N,35.4,A,Met,94.8,95
N/A,Bethesda Elementary,no,320304,Durham,Durham,"2009 S Miami Boulevard, Durham, NC 27703",-78.8378281,35.9401449,Durham Public Schools,North Central,Y,56.3,D,Met,39.8,N/A
N/A,"Brogden Middle, Durham",no,320306,Durham,Durham,"1001 Leon Street, Durham, NC 27704",-78.908729,36.0247847,Durham Public Schools,North Central,Y,74.2,D,Exceeded,40.2,N/A
N/A,Eastway Elementary,no,320310,Durham,Durham,"610 North Alston Avenue, Durham, NC 27701",-78.885157,35.990755,Durham Public Schools,North Central,Y,69.5,D,Exceeded,26.8,N/A
CIS of Cape Fear,North Topsail Elementary,yes,710323,Pender,Hampstead,"1310 Sloop Point Loop Road, Hampstead, NC 28443",-77.6361614,34.3993933,Pender County Schools,Southeast,N,34.9,B,Exceeded,76.1,N/A
CIS of Cape Fear,Surf City Middle,yes,710352,Pender,Hampstead,"12345-B Literacy Ln, Hampstead, NC 28443",-77.575036,34.4618621,Pender County Schools,Southeast,N,32.4,B,Met,69.4,N/A
CIS of Cape Fear,Holly Tree Elementary,yes,650339,New Hanover,Wilmington,"3020 Web Trace, Wilmington, NC 28409",-77.8849162,34.1916441,New Hanover County Schools,Southeast,N,31.5,B,Not Met,82.7,N/A
CIS of Cape Fear,Topsail High,yes,710342,Pender,Hampstead,"245 St. Johns Church Road, Hampstead, NC 28443",-77.681496,34.3954802,Pender County Schools,Southeast,N,29,B,Met,68.4,93.9
CIS of Cape Fear,John T Hoggard High,yes,650342,New Hanover,Wilmington,"4305 Shipyard Blvd, Wilmington, NC 28403",-77.8921411,34.1998549,New Hanover County Schools,Southeast,N,28.7,B,Not Met,70,90.9
CIS of Cape Fear,Topsail Middle,yes,710346,Pender,Hampstead,"17445 US Hwy 17, Hampstead, NC 28443",-77.6777047,34.3976419,Pender County Schools,Southeast,N,28.4,B,Exceeded,76.2,N/A
N/A,Lowe's Grove Middle,no,320346,Durham,Durham,"4418 S Alston Avenue, Durham, NC 27713",-78.8912966,35.9045436,Durham Public Schools,North Central,Y,80,D,Met,36.5,N/A
N/A,Neal Middle,no,320355,Durham,Durham,"201 Baptist Road, Durham, NC 27704",-78.78184,35.9779327,Durham Public Schools,North Central,Y,76.2,D,Met,35.9,N/A
N/A,"Oak Grove Elementary, Durham",no,320360,Durham,Durham,"3810 Wake Forest Road, Durham, NC 27703",-78.819459,35.979946,Durham Public Schools,North Central,Y,79.4,D,Not Met,43.4,N/A
N/A,"Parkwood Elementary, Durham",no,320362,Durham,Durham,"5207 Revere Road, Durham, NC 27713",-78.905692,35.8914339,Durham Public Schools,North Central,Y,72.5,D,Not Met,36.4,N/A
N/A,C C Spaulding Elementary,no,320374,Durham,Durham,"1531 S Roxboro Road, Durham, NC 27707",-78.905587,35.977736,Durham Public Schools,North Central,Y,74.6,F,Met,25.8,N/A
N/A,W G Pearson Elementary,no,320388,Durham,Durham,"3501 Fayettville Street, Durham, NC 27707",-78.9077836,35.9584263,Durham Public Schools,North Central,Y,59.9,D,Met,39.8,N/A
N/A,Y E Smith Elementary,no,320400,Durham,Durham,"2410 E Main Street, Durham, NC 27703",-78.8724657,35.9856279,Durham Public Schools,North Central,Y,70.6,D,Exceeded,32.5,N/A
N/A,Healthy Start Academy,no,32B000,Durham,Durham,"807 West Chapel Hill Street, Durham, NC 27701",-78.9137691,35.996406,Charter Schools,North Central,Y,69.9,D,Exceeded,43.7,N/A
N/A,Carter Community Charter,no,32C000,Durham,Durham,"1955 West Cornwallis Road, Durham, NC 27705",-78.955472,35.9812192,Charter Schools,North Central,Y,69.5,D,Met,33.1,N/A
N/A,Global Scholars Academy,no,32M000,Durham,Durham,"311 Dowd St, Durham, NC 27701",-78.8929997,36.0008147,Charter Schools,North Central,Y,85.6,D,Not Met,49.2,N/A
N/A,The Institute Development Young Leaders,no,32P000,Durham,Durham,"4300 S. Miami Blvd., Durham, NC 27703",-78.8511015,35.8997647,Charter Schools,North Central,Y,51.4,D,Met,34.7,N/A
N/A,Reaching All Minds Academy,no,32Q000,Durham,Durham,"2703 Holloway St., Durham, NC 27703",-78.8515471,35.9891291,Charter Schools,North Central,Y,21.1,F,Met,29,N/A
N/A,KIPP Durham College Preparatory,no,32S000,Durham,Durham,"1107 Holloway Street, Durham, NC 27701",-78.8811772,35.9948357,Charter Schools,North Central,Y,70.1,D,Exceeded,35.8,N/A
N/A,G W Bulluck Elementary,no,330304,Edgecombe,Rocky Mount,"3090 Bulluck School Road, Rocky Mount, NC 27801",-77.7196558,35.8826226,Edgecombe County Public School,North Central,Y,60.3,D,Met,41.4,N/A
N/A,Coker-Wimberly Elementary,no,330312,Edgecombe,Battleboro,"1619 NC 97 West, Battleboro, NC 27809",-77.6042147,35.9769077,Edgecombe County Public School,North Central,Y,61.2,D,Met,32,N/A
N/A,"Phillips Middle, Battleboro",no,330332,Edgecombe,Battleboro,"4371 Battleboro-Leggett Road, Battleboro, NC 27809",-77.685968,36.001686,Edgecombe County Public School,North Central,Y,64.9,F,Not Met,19.8,N/A
N/A,Princeville Elementary,no,330334,Edgecombe,Tarboro,"710 Panola Street, Tarboro, NC 27886",-77.5328765,35.9017803,Edgecombe County Public School,North Central,Y,71.7,D,Met,31.9,N/A
N/A,South Edgecombe Middle,no,330340,Edgecombe,Pinetops,"230 Pinetops-Crisp Road, Pinetops, NC 27864",-77.643968,35.778073,Edgecombe County Public School,North Central,N,46.6,D,Met,36.4,N/A
N/A,W A Pattillo Middle,no,330344,Edgecombe,Tarboro,"501 East Ave, Tarboro, NC 27886",-77.5238509,35.902929,Edgecombe County Public School,North Central,Y,65.3,D,Exceeded,32.4,N/A
N/A,SouthWest Edgecombe High,no,330350,Edgecombe,Pinetops,"5912 NC 43 North, Pinetops, NC 27864",-77.657896,35.8366548,Edgecombe County Public School,North Central,N,41.8,D,Not Met,33.4,75.3
N/A,Stocks Elementary,no,330354,Edgecombe,Tarboro,"400 Hope Lodge Street, Tarboro, NC 27886",-77.5518214,35.9110179,Edgecombe County Public School,North Central,Y,66.2,F,Not Met,27.9,N/A
N/A,Tarboro High,no,330358,Edgecombe,Tarboro,"1400 Howard Avenue, Tarboro, NC 27886",-77.559107,35.9020577,Edgecombe County Public School,North Central,N,48.9,D,Met,28.7,77.6
N/A,Ashley Academy,no,340308,Forsyth,Winston-Salem,"1647 Ashley School Circle, Winston-Salem, NC 27105",-80.2217616,36.1176872,Forsyth County Schools,Piedmont-Triad,Y,81.5,F,Met,19.4,N/A
N/A,Bolton Elementary,no,340314,Forsyth,Winston Salem,"1250 Bolton Street, Winston Salem, NC 27103",-80.2918719,36.0741102,Forsyth County Schools,Piedmont-Triad,Y,63.1,D,Met,36.3,N/A
N/A,Carver High,no,340330,Forsyth,Winston Salem,"3545 Carver School Road, Winston Salem, NC 27105",-80.2071071,36.1342371,Forsyth County Schools,Piedmont-Triad,Y,69.2,D,Exceeded,24.3,67
N/A,Cook Literacy Model School,no,340351,Forsyth,Winston-Salem,"920 11th Street NW, Winston-Salem, NC 27105",-80.2568315,36.1078495,Forsyth County Schools,Piedmont-Triad,Y,87.8,D,Exceeded,28.5,N/A
N/A,East Forsyth Middle School,no,340366,Forsyth,Kernersville,"810 Bagley Drive, Kernersville, NC 27284",-80.1289634,36.133569,Forsyth County Schools,Piedmont-Triad,Y,51.8,D,Not Met,33.8,N/A
N/A,Easton Elementary School,no,340368,Forsyth,Winston Salem,"734 E Clemmonsville Road, Winston Salem, NC 27107",-80.2217137,36.0582669,Forsyth County Schools,Piedmont-Triad,Y,70.4,F,Met,23.1,N/A
N/A,"Flat Rock Middle, Winston-Salem",no,340372,Forsyth,Winston-Salem,"4648 Ebert Rd, Winston-Salem, NC 27284",-80.303403,36.0089929,Forsyth County Schools,Piedmont-Triad,Y,48,D,Met,42.7,N/A
N/A,"Forest Park Elementary, Winston-Salem",no,340376,Forsyth,Winston Salem,"2019 Milford Street, Winston Salem, NC 27107",-80.2156541,36.0717656,Forsyth County Schools,Piedmont-Triad,Y,71,D,Met,29.4,N/A
N/A,Gibson Elementary,no,340380,Forsyth,Winston-Salem,"2020 Walker Road, Winston-Salem, NC 27106",-80.311353,36.186613,Forsyth County Schools,Piedmont-Triad,Y,63.5,D,Exceeded,43.5,N/A
N/A,Griffith Elementary,no,340384,Forsyth,Winston Salem,"1385 W Clemmonsville Road, Winston Salem, NC 27127",-80.2645469,36.041069,Forsyth County Schools,Piedmont-Triad,Y,53.8,D,Exceeded,41.1,N/A
N/A,Hall-Woodward Elementary,no,340390,Forsyth,Winston Salem,"125 Nicholson Road, Winston Salem, NC 27107",-80.174661,36.0807519,Forsyth County Schools,Piedmont-Triad,Y,64.3,D,Met,34,N/A
N/A,Ibraham Elementary,no,340400,Forsyth,Winston Salem,"5036 Old Walkertown, Winston Salem, NC 27105",-80.2008123,36.1593968,Forsyth County Schools,Piedmont-Triad,Y,69.2,F,Not Met,23.2,N/A
N/A,Kimberley Park Elementary,no,340424,Forsyth,Winston Salem,"1700 Old Cherry Street, Winston Salem, NC 27105",-80.2538252,36.1161093,Forsyth County Schools,Piedmont-Triad,Y,79.3,F,Met,16.1,N/A
N/A,Konnoak Elementary,no,340428,Forsyth,Winston Salem,"3200 Renon Road, Winston Salem, NC 27127",-80.2473786,36.0513064,Forsyth County Schools,Piedmont-Triad,Y,58.7,D,Exceeded,41.6,N/A
N/A,Diggs-Latham Elementary,no,340430,Forsyth,Winston Salem,"986 Hutton Street, Winston Salem, NC 27101",-80.256586,36.07895,Forsyth County Schools,Piedmont-Triad,Y,66.7,D,Not Met,35.4,N/A
N/A,Mineral Springs Middle,no,340452,Forsyth,Winston Salem,"4559 Ogburn Avenue, Winston Salem, NC 27105",-80.235449,36.157342,Forsyth County Schools,Piedmont-Triad,Y,67.9,D,Met,35.3,N/A
N/A,Moore Magnet Elementary,no,340453,Forsyth,Winston Salem,"451 Knollwood Street, Winston Salem, NC 27103",-80.2850058,36.0877009,Forsyth County Schools,Piedmont-Triad,Y,47.2,D,Not Met,49,N/A
N/A,North Forsyth High,no,340460,Forsyth,Winston Salem,"5705 Shattalon Drive, Winston Salem, NC 27105",-80.2813366,36.174504,Forsyth County Schools,Piedmont-Triad,Y,44.7,D,Not Met,27.3,78.5
N/A,North Hills Elementary,no,340462,Forsyth,Winston-Salem,"340 Alspaugh Drive, Winston-Salem, NC 27105",-80.2525004,36.149384,Forsyth County Schools,Piedmont-Triad,Y,79.7,D,Exceeded,32.9,N/A
N/A,Northwest Middle,no,340464,Forsyth,Winston Salem,"5501 Murray Road, Winston Salem, NC 27106",-80.3067049,36.19201,Forsyth County Schools,Piedmont-Triad,Y,45.9,D,Exceeded,41.9,N/A
N/A,Old Town Elementary,no,340476,Forsyth,Winston Salem,"3930 Reynolda Road, Winston Salem, NC 27106",-80.332389,36.164581,Forsyth County Schools,Piedmont-Triad,Y,61,F,Not Met,31.3,N/A
N/A,Parkland High,no,340486,Forsyth,Winston Salem,"1600 Brewer Road, Winston Salem, NC 27127",-80.2573,36.057116,Forsyth County Schools,Piedmont-Triad,Y,46.3,D,Met,29.5,73.7
N/A,Petree Elementary,no,340490,Forsyth,Winston-Salem,"3815 Old Greensboro Road, Winston-Salem, NC 27101",-80.1912812,36.1133308,Forsyth County Schools,Piedmont-Triad,Y,80,F,Met,17.2,N/A
N/A,Philo-Hill Magnet Academy,no,340492,Forsyth,Winston Salem,"410 Haverhill Street, Winston Salem, NC 27127",-80.2481969,36.0543243,Forsyth County Schools,Piedmont-Triad,Y,72.4,F,Not Met,15.2,N/A
N/A,Smith Farm Elementary,no,340514,Forsyth,Winston-Salem,"4250 Johnny Knoll Lane, Winston-Salem, NC 27107",-80.1408877,36.0800672,Forsyth County Schools,Piedmont-Triad,Y,40.6,D,Met,36,N/A
N/A,Speas Elementary,no,340530,Forsyth,Winston Salem,"2000 W Polo Road, Winston Salem, NC 27106",-80.2962505,36.1304261,Forsyth County Schools,Piedmont-Triad,Y,50.3,D,Met,45.6,N/A
N/A,Ward Elementary,no,340548,Forsyth,Winston-Salem,"3775 Fraternity Church Road, Winston-Salem, NC 27127",-80.3365552,36.0277227,Forsyth County Schools,Piedmont-Triad,Y,67.2,D,Met,44,N/A
N/A,Winston-Salem Preparatory Acad,no,340568,Forsyth,Winston-Salem,"1215 North Cameron Avenue, Winston-Salem, NC 27101",-80.221514,36.11106,Forsyth County Schools,Piedmont-Triad,Y,70.9,F,Not Met,15.9,95
N/A,Carter G Woodson School,no,34D000,Forsyth,Winston-Salem,"437 Goldfloss Street, Winston-Salem, NC 27127",-80.2304324,36.0675488,Charter Schools,Piedmont-Triad,Y,67.3,F,Not Met,26.3,83.3
N/A,Forsyth Academy,no,34F000,Forsyth,Winston-Salem,"5426 Shattalon Drive, Winston-Salem, NC 27106",-80.2992777,36.1692078,Charter Schools,Piedmont-Triad,Y,81.9,D,Not Met,46.1,N/A
N/A,Appalachian Academy at Middle Fork,no,34Z000,Forsyth,Walkertown,"3125 Williston Rd, Walkertown, NC 27051",-80.1683575,36.1412787,Lab Schools,Piedmont-Triad,Y,5,D,Met,25.4,N/A
CIS of Cape Fear,Dr John Codington Elem,yes,650366,New Hanover,Wilmington,"4321 Carolina Beach Rd. , Wilmington, NC 28412",-77.9174471,34.1665203,New Hanover County Schools,Southeast,N,28.1,B,Not Met,83.8,N/A
N/A,Bessemer City Central Elem,no,360332,Gaston,Bessemer City,"1400 Puett's Chapel Road, Bessemer City, NC 28016",-81.2753965,35.3025408,Gaston County Schools,Southwest,Y,60.2,D,Not Met,33.1,N/A
N/A,Bessemer City High,no,360336,Gaston,Bessemer City,"119 Yellow Jacket Lane, Bessemer City, NC 28016",-81.2807176,35.2979309,Gaston County Schools,Southwest,N,63.6,D,Not Met,26.8,77.6
N/A,Bessemer City Primary,no,360338,Gaston,Bessemer City,"1320 North 12th Street, Bessemer City, NC 28016",-81.275058,35.300151,Gaston County Schools,Southwest,Y,61,D,Not Available,Not Available,N/A
N/A,Brookside Elementary,no,360340,Gaston,Gastonia,"1925 Auten Rd., Gastonia, NC 28054",-81.1512179,35.2936803,Gaston County Schools,Southwest,Y,47.4,D,Not Met,43.2,N/A
CIS of Cape Fear,Dr Hubert Eaton Sr Elem,yes,650353,New Hanover,Wilmington,"6701 Gordon Road, Wilmington, NC 28405",-77.8341825,34.2663283,New Hanover County Schools,Southeast,N,25.4,B,Met,79.2,N/A
N/A,Edward D Sadler Jr Elementary School,no,360392,Gaston,Gastonia,"3950 West Franklin Boulevard, Gastonia, NC 28052",-81.2595319,35.258803,Gaston County Schools,Southwest,Y,64.3,D,Met,42.2,N/A
N/A,W P Grier Middle School,no,360408,Gaston,Gastonia,"1622 E Garrison Boulevard, Gastonia, NC 28054",-81.155406,35.254199,Gaston County Schools,Southwest,Y,55.5,D,Not Met,42.6,N/A
N/A,Lingerfeldt Elementary,no,360438,Gaston,Gastonia,"1601 Madison Street, Gastonia, NC 28052",-81.1923648,35.2407278,Gaston County Schools,Southwest,Y,72.8,D,Met,29.8,N/A
N/A,Pleasant Ridge Elementary,no,360480,Gaston,Gastonia,"1260 Floyd Lane, Gastonia, NC 28052",-81.2057571,35.2502441,Gaston County Schools,Southwest,Y,48.1,D,Not Met,50.7,N/A
N/A,Sherwood Elementary,no,360490,Gaston,Gastonia,"1744 Dixon Road, Gastonia, NC 28054",-81.1546791,35.2493262,Gaston County Schools,Southwest,Y,76.1,D,Met,41.4,N/A
N/A,H H Beam Elementary,no,360492,Gaston,Gastonia,"200 Davis Park Road, Gastonia, NC 28052",-81.202048,35.2231519,Gaston County Schools,Southwest,Y,63.2,D,Not Met,33.4,N/A
N/A,York Chester Middle,no,360526,Gaston,Gastonia,"601 S Clay Street, Gastonia, NC 28052",-81.192534,35.255431,Gaston County Schools,Southwest,Y,60.9,D,Met,45.5,N/A
N/A,T S Cooper Elementary,no,370324,Gates,Sunbury,"237 NC 32 South, Sunbury, NC 27979",-76.6067607,36.4244573,Gates County Schools,Northeast,Y,51.8,D,Met,40.2,N/A
CIS of Cape Fear,Topsail Elementary,yes,710344,Pender,Hampstead,"17385 US Hwy 17, Hampstead, NC 28443",-77.679578,34.396447,Pender County Schools,Southeast,N,22.8,A,Exceeded,83.6,N/A
N/A,Butner-Stem Middle,no,390309,Granville,Butner,"501 East D St, Butner, NC 27509",-78.7539691,36.140779,Granville County Schools,North Central,Y,69.6,D,Not Met,44.1,N/A
N/A,Butner-Stem Elementary,no,390311,Granville,Butner,"201 East D St, Butner, NC 27509",-78.7581486,36.1371437,Granville County Schools,North Central,Y,72,D,Not Met,43.3,N/A
N/A,C. G. Credle Elementary,no,390312,Granville,Oxford,"223 College St, Oxford, NC 27565",-78.592472,36.31453,Granville County Schools,North Central,Y,78.6,D,Met,45.8,N/A
N/A,Creedmoor Elementary,no,390316,Granville,Creedmoor,"305 E Wilton Ave, Creedmoor, NC 27522",-78.6783867,36.1233173,Granville County Schools,North Central,Y,76.2,D,Met,41.5,N/A
N/A,Granville Academy,no,390321,Granville,Oxford,"200 Taylor Street, Oxford, NC 27565",-78.5862227,36.3165557,Granville County Schools,North Central,N,38.6,D,Met,48.9,N/A
N/A,Mary Potter Middle,no,390331,Granville,Oxford,"200 Taylor St, Oxford, NC 27565",-78.5862227,36.3165557,Granville County Schools,North Central,Y,76,D,Not Met,42.3,N/A
N/A,Northern Granville Middle,no,390334,Granville,Oxford,"3144 Webb School Rd, Oxford, NC 27565",-78.6052655,36.3435764,Granville County Schools,North Central,Y,76.8,F,Not Met,31.6,N/A
N/A,Stovall-Shaw Elementary,no,390360,Granville,Stovall,"7696 Hwy 15 N, Stovall, NC 27582",-78.5763221,36.4386131,Granville County Schools,North Central,Y,65,D,Not Met,47.1,N/A
N/A,West Oxford Elementary,no,390364,Granville,Oxford,"412 Ivey Day Rd, Oxford, NC 27565",-78.611949,36.322188,Granville County Schools,North Central,Y,86.3,D,Met,32.7,N/A
N/A,Greene County Middle,no,400312,Greene,Snow Hill,"485 Middle School Road, Snow Hill, NC 28580",-77.669652,35.4911521,Greene County Schools,Southeast,Y,70.1,D,Not Met,38.5,N/A
N/A,Snow Hill Primary,no,400321,Greene,Snow Hill,"502 SE 2nd Street, Snow Hill, NC 28580",-77.6640815,35.4508459,Greene County Schools,Southeast,Y,71.8,D,Not Available,Not Available,N/A
N/A,West Greene Elementary,no,400332,Greene,Snow Hill,"303 Kingold Boulevard, Snow Hill, NC 28580",-77.6864488,35.4539507,Greene County Schools,Southeast,Y,76.1,D,Not Met,43.3,N/A
CIS of Cape Fear,Ogden Elementary,yes,650356,New Hanover,Wilmington,"3637 Middle Sound Rd, Wilmington, NC 28411",-77.809496,34.2661541,New Hanover County Schools,Southeast,N,18.3,A,Met,91.3,N/A
N/A,"Edwin A Alderman Elementary, Greensboro",no,410307,Guilford,Greensboro,"4211 Chateau Drive, Greensboro, NC 27407",-79.8679836,36.0402338,Guilford County Schools,Piedmont-Triad,Y,55,D,Not Met,50.8,N/A
CIS of Charlotte-Mecklenburg,Walter G Byers School,yes,600574,Mecklenburg,Charlotte,"1415 Hamilton St, Charlotte, NC 28206",-80.8414549,35.2439448,Charlotte-Mecklenburg Schools,Southwest,Y,80.1,D,Exceeded,40.2,N/A
N/A,Southern Guilford Middle,no,410313,Guilford,Greensboro,"5747 Drake Rd, Greensboro, NC 27406",-79.8508875,35.9434977,Guilford County Schools,Piedmont-Triad,Y,52.5,D,Met,47.4,N/A
N/A,Allen Middle,no,410316,Guilford,Greensboro,"1108 Glendale Drive, Greensboro, NC 27406",-79.8234499,36.011131,Guilford County Schools,Piedmont-Triad,Y,59.5,D,Not Met,39.2,N/A
CIS of Charlotte-Mecklenburg,Druid Hills Academy,yes,600374,Mecklenburg,Charlotte,"2801 Lucena Ave, Charlotte, NC 28206",-80.8242841,35.2572334,Charlotte-Mecklenburg Schools,Southwest,Y,79.5,F,Not Met,25.8,N/A
N/A,Swann Middle School,no,410325,Guilford,Greensboro,"811 Cypress Street, Greensboro, NC 27405",-79.780809,36.0841568,Guilford County Schools,Piedmont-Triad,Y,58.2,D,Not Met,44.2,N/A
N/A,Bessemer Elementary,no,410328,Guilford,Greensboro,"918 Huffine Mill Road, Greensboro, NC 27405",-79.736291,36.0895579,Guilford County Schools,Piedmont-Triad,Y,81.3,D,Met,34.2,N/A
N/A,Bluford Elementary,no,410331,Guilford,Greensboro,"1901 Tuscaloosa Street, Greensboro, NC 27401",-79.7646078,36.0577655,Guilford County Schools,Piedmont-Triad,Y,74.3,D,Met,30.8,N/A
N/A,Brightwood Elementary,no,410334,Guilford,Greensboro,"2001 Brightwood School Road, Greensboro, NC 27405",-79.7515391,36.147817,Guilford County Schools,Piedmont-Triad,Y,70.9,D,Met,40.4,N/A
N/A,Ceasar Cone Elementary,no,410349,Guilford,Greensboro,"2501 North Church Street, Greensboro, NC 27405",-79.7813281,36.1080744,Guilford County Schools,Piedmont-Triad,Y,82,F,Not Met,26,N/A
CIS of Charlotte-Mecklenburg,Reid Park Academy,yes,600517,Mecklenburg,Charlotte,"4108 W Tyvola Rd, Charlotte, NC 28208",-80.90523,35.204946,Charlotte-Mecklenburg Schools,Southwest,Y,78.1,D,Met,43.7,N/A
CIS of Charlotte-Mecklenburg,Renaissance West STEAM Academy,yes,600515,Mecklenburg,Charlotte,"3241 New Renaissance Way, Charlotte, NC 28208",-80.9209172,35.2076074,Charlotte-Mecklenburg Schools,Southwest,Y,76.1,F,Not Met,22.4,N/A
N/A,Waldo C Falkener Sr Elementary,no,410366,Guilford,Greensboro,"3931 Naco Road, Greensboro, NC 27401",-79.7363892,36.0820795,Guilford County Schools,Piedmont-Triad,Y,79,D,Not Met,35.1,N/A
CIS of Charlotte-Mecklenburg,Bruns Avenue Elementary,yes,600489,Mecklenburg,Charlotte,"501 S. Bruns Ave, Charlotte, NC 28208",-80.8648481,35.2391236,Charlotte-Mecklenburg Schools,Southwest,Y,75.3,F,Met,20.2,N/A
N/A,Julius I Foust Elementary,no,410373,Guilford,Greensboro,"2610 Floyd Street, Greensboro, NC 27406",-79.8092312,36.0372463,Guilford County Schools,Piedmont-Triad,Y,67.2,D,Met,38.4,N/A
N/A,Cyrus P Frazier Elementary,no,410376,Guilford,Greensboro,"4215 Galway Drive, Greensboro, NC 27406",-79.8251234,36.0121973,Guilford County Schools,Piedmont-Triad,Y,69.3,D,Met,44.4,N/A
N/A,Gillespie Park Elementary,no,410385,Guilford,Greensboro,"1900 Martin Luther King Jr Drive, Greensboro, NC 27406",-79.7784483,36.0490322,Guilford County Schools,Piedmont-Triad,Y,77.2,D,Met,29,N/A
N/A,Western Guilford Middle,no,410397,Guilford,Greensboro,"401 College Road, Greensboro, NC 27410",-79.8946519,36.083142,Guilford County Schools,Piedmont-Triad,Y,76.4,D,Not Met,47.5,N/A
N/A,Doris Henderson Newcomers Sch,no,410398,Guilford,Greensboro,"411 Friendway Road, Greensboro, NC 27410",-79.9042984,36.0819119,Guilford County Schools,Piedmont-Triad,Y,40.8,F,Not Available,5,N/A
